question,long_answer,short_answers
when did australia get rid of the death penalty,N/A,['N/A']
industrial city in germany on the rhine herne canal,N/A,['N/A']
how did the apostles creed get its name,N/A,['N/A']
where is the hotel in the movie the shining,N/A,['N/A']
in opera buffa what key usually signifies peasants,N/A,['N/A']
what is a real world application of an atwood machine,N/A,['N/A']
who starred in the movie natural born killers,N/A,['N/A']
who wants a heart in the wizard of oz,N/A,['N/A']
what are the importance of rigor mortis in meat processing,N/A,['N/A']
when did the song the joker come out,N/A,['N/A']
what is the tigers name in life of pi,N/A,['N/A']
who was the cop in dumb and dumber,N/A,['N/A']
when did god save the queen became the national anthem,N/A,['N/A']
when did the 5 day work week begin,N/A,['N/A']
where is the north pole on the world map,N/A,['N/A']
when did the us stop drafting for the vietnam war,N/A,['N/A']
discuss the impact of devaluation on foreign exchange reserve,N/A,['N/A']
what does the transfer case control module do,N/A,['N/A']
who performed the halftime show at super bowl 51,N/A,['N/A']
what do the films mean in high castle,N/A,['N/A']
who lives in the blue house in balamory,N/A,['N/A']
where is the host file located in windows server 2008 r2,N/A,['N/A']
when was the worlds first laptop computer introduced in the market and by whom,N/A,['N/A']
law & order criminal intent season 8 episode 8,N/A,['N/A']
when was the first episode of scooby doo,N/A,['N/A']
who wrote the music for the partridge family,N/A,['N/A']
what are the biggest citys in the usa,N/A,['N/A']
when is last time the astros won the world series,N/A,['N/A']
what did the american flag look like in 1896,N/A,['N/A']
where does the word fore in golf originated,N/A,['N/A']
where is episode 13 of attack on titan,N/A,['N/A']
what is the legislature of the united states called,N/A,['N/A']
when would a post card not be needed,N/A,['N/A']
what was the relationship between japan’s emperors and military leaders,N/A,['N/A']
who is the speaker in shooting an elephant,N/A,['N/A']
best song in dark side of the moon,N/A,['N/A']
results of the large-scale women's health initiative released in 2002 revealed hormone therapy may,N/A,['N/A']
how do i loathe thee let me count the ways shakespeare,N/A,['N/A']
who plays sheila carter on the bold and the beautiful,N/A,['N/A']
what is the current mac os operating system,N/A,['N/A']
how many gears does an electric car have,N/A,['N/A']
states that have adopted the model rules of professional conduct,N/A,['N/A']
when were 2 dollar bills stopped being made,N/A,['N/A']
what is the share of agriculture in indian economy,N/A,['N/A']
when did the animal rights movement began in the us,N/A,['N/A']
who sings the song it ain't me,N/A,['N/A']
how big is the celebrity big brother house,N/A,['N/A']
when does the nba season end this year,N/A,['N/A']
the principle of meritocracy has been a key value in u.s. society for centuries. true false,N/A,['N/A']
where was the bill of rights written at,N/A,['N/A']
what us president is the only president to become an eagle scout,N/A,['N/A']
when was the drinking age set to 21,N/A,['N/A']
how much does it cost for the olympics,N/A,['N/A']
what is the temperature in the south pole right now,N/A,['N/A']
who wrote the story of my life by neil diamond,N/A,['N/A']
method used by a writer to develop a character,N/A,['N/A']
when is the womens ice skating for the olympics,N/A,['N/A']
when does the i come before the e,N/A,['N/A']
what position did doug peterson play in the nfl,N/A,['N/A']
which organization is the major voice of the legal profession,N/A,['N/A']
which action shortens the fibers of the serratus anterior,N/A,['N/A']
who played lionel in as time goes by,N/A,['N/A']
where was the deer hunter hunting scene filmed,N/A,['N/A']
how many co2 molecules are produced in aerobic respiration,N/A,['N/A']
who's playing the late game on sunday night football,N/A,['N/A']
where does the optic nerve cross the midline ​,N/A,['N/A']
the grand tour season 2 episode 2 celebrity guests,N/A,['N/A']
who was toot toot in the green mile,N/A,['N/A']
what gun does the california highway patrol use,N/A,['N/A']
i-o psychologists study our behavior on the job by,N/A,['N/A']
is there a stand your ground law in alabama,N/A,['N/A']
what was taking place before the industrial revolution,N/A,['N/A']
what is billy last name in where the red fern grows,N/A,['N/A']
who painted the ceiling of the florence cathedral,N/A,['N/A']
you gotta fight for your right to party cover,N/A,['N/A']
who sings too much time on my hands lyrics,N/A,['N/A']
ye mera dil pyar ka deewana old song free download,N/A,['N/A']
when was the first building built in dubai,N/A,['N/A']
who has hosted the most fifa world cups,N/A,['N/A']
what was one effect of the camp david accords 1977,N/A,['N/A']
why does prince edward island have red sand,N/A,['N/A']
which is the lion's mane jellyfish's species within its genus,N/A,['N/A']
who was the buccaneers qb when they won the superbowl,N/A,['N/A']
when are two events said to be independent,N/A,['N/A']
when does season 2 of wolf hall start,N/A,['N/A']
an american colonist who did not support the fight for independence,N/A,['N/A']
who did the central powers defeat on the eastern front before concentrating back on france,N/A,['N/A']
what kind of fish live in the salton sea,N/A,['N/A']
when do law students take the bar exam,N/A,['N/A']
how does the romanesque bust reliquary reflect another culture's influence,N/A,['N/A']
when was the defensive 3 second rule implemented,N/A,['N/A']
fitting of rim on a locomotive wheel is done by,N/A,['N/A']
when did jack mccoy join law and order,N/A,['N/A']
total branch of union bank ltd in bangladesh,N/A,['N/A']
senior raf officer equivalent rank to a rear admiral in the royal navy,N/A,['N/A']
who did the music for your lie in april,N/A,['N/A']
who plays mad max on johnboy and billy,N/A,['N/A']
fear the walking dead season 1 episode 4 explained,N/A,['N/A']
who died in the first episode of stranger things,N/A,['N/A']
who are the characters in yo gabba gabba,N/A,['N/A']
who was the captain of the mayflower when it took the pilgrims to the new world,N/A,['N/A']
who won the national championship in volleyball 2017,N/A,['N/A']
name a food you might eat on thanksgiving,N/A,['N/A']
wizards of waverly place does max turn back into a boy,N/A,['N/A']
when is the next episode of flash airing,N/A,['N/A']
what part of new york likes the jets,N/A,['N/A']
which regions on earth have seasons tied to the amount of rainfall,N/A,['N/A']
what is the first basic process in the light reaction of photosynthesis,N/A,['N/A']
the object in the mirror are closer than it appears,N/A,['N/A']
what is the longest pier in the uk,N/A,['N/A']
who did cora marry in once upon a time,N/A,['N/A']
which of the following periods provided particularly high returns to stock​ investors,N/A,['N/A']
how would you represent g0 in the cell cycle of a neuron,N/A,['N/A']
what nfl team is robert griffin the third playing for,N/A,['N/A']
who owns the dower house in the archers,N/A,['N/A']
where does the seven ages of man come from,N/A,['N/A']
who sings that aint no way to go,N/A,['N/A']
who plays jack's mom in 30 rock,N/A,['N/A']
who beat university of virginia in basketball this year,N/A,['N/A']
what are the different aspects of community health,N/A,['N/A']
the letter of the law versus the spirit of the law,N/A,['N/A']
are all routing numbers the same for bank of america,N/A,['N/A']
what is the 3rd largest state in usa,N/A,['N/A']
when is the state of the union televised,N/A,['N/A']
who sings why does it hurt when i pee,N/A,['N/A']
when does the cannes film festival take place,N/A,['N/A']
a characteristic of adolescent egocentrism is exemplified by which of the following,N/A,['N/A']
panic at the disco song about a wedding,N/A,['N/A']
how many episodes of corrie has there been,N/A,['N/A']
who are you and what are you doing here citation,N/A,['N/A']
why is the cockerel the symbol of france,N/A,['N/A']
who is the voice of the other mother in coraline,N/A,['N/A']
who is subject to foreign corruption practices act,N/A,['N/A']
how many tornado planes does the uk have,N/A,['N/A']
what happened to the fourth member of destinys child,N/A,['N/A']
the key difference between theories of learning and models of teaching is that theories describe,N/A,['N/A']
how many strong verbs are there in german,N/A,['N/A']
where are the locations for the ncaa basketball tournament,N/A,['N/A']
where did the violin get its name from,N/A,['N/A']
who sings tie a yellow ribbon around the old oak tree,N/A,['N/A']
how many states in india have atleast one international border,N/A,['N/A']
where does patience is a virtue come from,N/A,['N/A']
which of these rights was limited by the sedition act of 1918,N/A,['N/A']
which country has the smallest population in europe,N/A,['N/A']
why did the attack on pearl harbor take place,N/A,['N/A']
who plays elsa's aunt in once upon a time,N/A,['N/A']
where was held the first session of muslim league,N/A,['N/A']
what is the name of the dragon in eragon,N/A,['N/A']
where is the emerald ash borer found in the us,N/A,['N/A']
tqm is designed to build quality into the product and process design,N/A,['N/A']
points outside the production possibilities curve represent combinations of products that are,N/A,['N/A']
what is the meaning of the name von,N/A,['N/A']
what kind of energy must be added or removed to change the state of matter,N/A,['N/A']
what is the largest magnitude earthquake that has occurred in the pacific northwest,N/A,['N/A']
when does the champions league quarter finals start,N/A,['N/A']
what channel is bbc three on direct tv,N/A,['N/A']
where is graphic design used in architecture and interior design,N/A,['N/A']
what is the process of amending the united states constitution & north carolina constitution,N/A,['N/A']
when will the flash season 4 episode 17 come out,N/A,['N/A']
when was the last summer olympics in the usa,N/A,['N/A']
ed edd n eddy double d boy or girl,N/A,['N/A']
why do you die when you lose blood,N/A,['N/A']
who is the head a in pretty little liars,N/A,['N/A']
how many models are there in iphone 6,N/A,['N/A']
when did the term sustainability start to be used,N/A,['N/A']
where was the killing of a sacred deer filmed,N/A,['N/A']
who drove #9 in nascar in 2017,N/A,['N/A']
cox's bazar the longest beach in the world,N/A,['N/A']
how many departments are there within the british ministry of magic,N/A,['N/A']
william shatner i can't get behind that lyrics,N/A,['N/A']
factors that affect the speed of nerve impulse propagation,N/A,['N/A']
can i get an indian tourist visa on arrival,N/A,['N/A']
how much energy does coal produce in the us,N/A,['N/A']
who was the killer in the movie i know what you did last summer,N/A,['N/A']
un convention on the prevention and punishment of genocide,N/A,['N/A']
how do tsetse flies (glossina spp.) differ from other dipteran flies,N/A,['N/A']
who played susanna in legends of the fall,N/A,['N/A']
what new deal program limited production in industry,N/A,['N/A']
fast & furious 8 release date in india,N/A,['N/A']
the group that officially elects the president of the united states is called,N/A,['N/A']
is the right to bear arms in the canadian constitution,N/A,['N/A']
who played adaline in the age of adaline,N/A,['N/A']
lung diseases usually have which effect on the ecg,N/A,['N/A']
who played raquel in only fools and horses,N/A,['N/A']
explain what happens to the extra quarter of a day each calendar year,N/A,['N/A']
from what five subject tests can you choose for the sat,N/A,['N/A']
frank sinatra one for my baby and one more for the road,N/A,['N/A']
who was elected governor of tennessee in 1865,N/A,['N/A']
what type of political system does el salvador have,N/A,['N/A']
when was the last time.michigan beat ohio state,N/A,['N/A']
how do buddhism and jainism present new challenges to traditional vedic culture in india,N/A,['N/A']
when did they stop making pull tabs on beer cans,N/A,['N/A']
what is the poorest county in the state of florida,N/A,['N/A']
where is the sweet sixteen 2018 being held,N/A,['N/A']
when does the next marvel runaways episode come out,N/A,['N/A']
explain what is meant by plain english and why is it used,N/A,['N/A']
when was the last time arsenal win premier league,N/A,['N/A']
when does the movie jeepers creepers come out,N/A,['N/A']
when did how you remind me come out,N/A,['N/A']
what is the role of hcl in the stomach,N/A,['N/A']
the version of the web evolved to support,N/A,['N/A']
the joint between a coxal bone of the pelvis and the sacrum,N/A,['N/A']
is harry potter the best book in the world,N/A,['N/A']
oh the earth is good to me song,N/A,['N/A']
what is the song in red dead redemption,N/A,['N/A']
who played cosette in les miserables on broadway,N/A,['N/A']
when did stephen curry won the mvp award,N/A,['N/A']
who ran the fastest 40 yard dash in the nfl,N/A,['N/A']
where does the bay area get its electricity,N/A,['N/A']
in a microsoft access table what does a row of information represent,N/A,['N/A']
once upon time in india kis film ka tag line hai,N/A,['N/A']
whats the difference between tomato paste and tomato puree,N/A,['N/A']
what type of plate boundary is associated with iceland and its volcanic eruptions,N/A,['N/A']
who plays jimmy's mom in 8 mile,N/A,['N/A']
who is the presiding officer of legislative council in india,N/A,['N/A']
first chairperson of united nations commission on human rights,N/A,['N/A']
when was son of a preacher man released,N/A,['N/A']
how many players are on the vikings football team,N/A,['N/A']
when did the first train run in england,N/A,['N/A']
when did the united kingdom entered world war 2,N/A,['N/A']
when does precipitate form in a chemical reaction,N/A,['N/A']
where does the carbon in organic molecules come from,N/A,['N/A']
actress who plays brad pitts wife in war machine,N/A,['N/A']
what does a major depressive episode look like,N/A,['N/A']
who are the voices of mickey and minnie mouse,N/A,['N/A']
what season does tara die on sons of anarchy,N/A,['N/A']
where does the president and his family live,N/A,['N/A']
what are the different types of diet plans,N/A,['N/A']
who invented the cornell method of note taking,N/A,['N/A']
did bear get a tattoo on just tattoo of us,N/A,['N/A']
who sings will you still love me when i'm not young and beautiful,N/A,['N/A']
what kind of guns are allowed in switzerland,N/A,['N/A']
when did world war 2 officially start and end,N/A,['N/A']
what is the supreme court's major power,N/A,['N/A']
identify the correct order of the sections of sonata allegro form,N/A,['N/A']
song god bless the child that's got his own,N/A,['N/A']
a popular combat sport from japan and china,N/A,['N/A']
what grade is a 7 out of 10,N/A,['N/A']
who wrote the song mary had a little lamb,N/A,['N/A']
which of the following is not considered characteristic of a type 1 diabetic in dka,N/A,['N/A']
where did homer get the name max power,N/A,['N/A']
negotiable instrument act 1881 promissory notes bills of exchange cheques,N/A,['N/A']
where does the modern view of history originate from,N/A,['N/A']
how many states are north of the southernmost point of canada,N/A,['N/A']
factories that assemble parts made in other countries,N/A,['N/A']
who is the book of galatians written to,N/A,['N/A']
what type of song is what a wonderful world,N/A,['N/A']
which is the first private medical college in kerala,N/A,['N/A']
where is national flag hoisted on republic day,N/A,['N/A']
the cultural diversity of native american groups was strongly influenced by,N/A,['N/A']
tujhe dekha toh yeh jana sanam movie name,N/A,['N/A']
host of who do you think you are,N/A,['N/A']
who wrote antigone and what are the dates of his birth and death,N/A,['N/A']
ac/dc you shook me all night long video,N/A,['N/A']
when was i look at the world poem written,N/A,['N/A']
who wrote music to twinkle twinkle little star,N/A,['N/A']
what is the name of the hyena in lion king,N/A,['N/A']
where does the white witch live in narnia,N/A,['N/A']
cobb county police headquarters north marietta parkway northeast marietta ga,N/A,['N/A']
if you're ready come and get it song,N/A,['N/A']
which two principles are the foundation of every states constitution,N/A,['N/A']
who kills barry's mom in the flash,N/A,['N/A']
who is the book of acts written to,N/A,['N/A']
a team hannibal i love it when a plan comes together,N/A,['N/A']
what is the meaning of the name gomez,N/A,['N/A']
how long have we been celebrating pi day,N/A,['N/A']
who won the mvp for the national league,N/A,['N/A']
does laser hair removal have any side effects,N/A,['N/A']
difference between document type declaration and document type definition,N/A,['N/A']
what type of venom does a fer de lance have,N/A,['N/A']
what percentage of the world population is vegan,N/A,['N/A']
who is allowed to be apart of the european union,N/A,['N/A']
who is the actor that plays ducky on ncis,N/A,['N/A']
when does the new death of superman come out,N/A,['N/A']
let's dance and shout shake your body down to the ground,N/A,['N/A']
where can you shoot a gun in delaware,N/A,['N/A']
when does auto start-stop automatically shutdown the engine,N/A,['N/A']
meaning of each one teach one in hindi,N/A,['N/A']
who started the state of the union address,N/A,['N/A']
when was a series of unfortunate events published,N/A,['N/A']
when is the last time the vikings were in the nfc championship,N/A,['N/A']
who makes the most money in professional sports,N/A,['N/A']
duane eddy play me like you play your guitar lyrics,N/A,['N/A']
who produced a change is gonna come,N/A,['N/A']
how long are the episodes in stranger things season 1,N/A,['N/A']
where will the first round of march madness be played,N/A,['N/A']
when did fortnite battle royal come out on xbox,N/A,['N/A']
who was the first baseball player to be featured on a postage stamp,N/A,['N/A']
when did movies start coming out in color,N/A,['N/A']
when does sam realize he is jim in ghost whisperer,N/A,['N/A']
where did the name kaiser permanente come from,N/A,['N/A']
who wrote knock knock knocking on heavens door,N/A,['N/A']
who plays stacey's mum in gavin and stacey,N/A,['N/A']
when did amnesia the dark descent come out,N/A,['N/A']
who's birthday is on the 16th of september,N/A,['N/A']
where did hasta la vista baby come from,N/A,['N/A']
what nfl player has the most nfl rings,N/A,['N/A']
where is this years army navy game played,N/A,['N/A']
the book of the thousand nights and one night volume v,N/A,['N/A']
doctrine of lapse was one of the rebellion,N/A,['N/A']
the 23 local government areas in rivers state,N/A,['N/A']
major tea and coffee producing states in india,N/A,['N/A']
dendrites and cell bodies are components of what type of matter found in the brain,N/A,['N/A']
soul plane that thing has a face on it,N/A,['N/A']
what is the origin of the phrase going cold turkey,N/A,['N/A']
how long is the famous suspension bridge in san francisco and what is it called,N/A,['N/A']
when did mandatory reporting become law in california,N/A,['N/A']
who sings i want to dance with you,N/A,['N/A']
the only way standard of living can increase is through increases in labor productivity.​,N/A,['N/A']
who sings song at the end of beauty and the beast,N/A,['N/A']
who pioneered the use of the scientific method in chemistry,N/A,['N/A']
who do you think you are book pdf,N/A,['N/A']
what is an example of a government monopoly in the united states,N/A,['N/A']
who sang the song you got a friend in me,N/A,['N/A']
where does the national security council get their information,N/A,['N/A']
mention any two function of the speaker of the lok sabha,N/A,['N/A']
what is nginx and what is it used for,N/A,['N/A']
where does a wrinkle in time take place,N/A,['N/A']
what are the main functions of the stem,N/A,['N/A']
who said the poison is in the dose,N/A,['N/A']
the outer layer of the skin that contains no blood or nerve supply is the,N/A,['N/A']
where was the dukes of hazzard show filmed,N/A,['N/A']
how do you get a black belt in jiu jitsu,N/A,['N/A']
what guns can i buy in new york,N/A,['N/A']
what year did seven nation army come out,N/A,['N/A']
what episode does marnie come back in geordie shore,N/A,['N/A']
who played in the first fifty shades of grey,N/A,['N/A']
how many episodes in season 3 of good witch,N/A,['N/A']
1000 ways to die season 1 full episodes,N/A,['N/A']
when did canada get rid of the death penalty,N/A,['N/A']
difference between 338 lapua and 338 win mag,N/A,['N/A']
who conducted the opening concert at carnegie hall,N/A,['N/A']
visit the apiculture centre and gather information about it,N/A,['N/A']
what was the purpose of masks in greek theatre,N/A,['N/A']
host of the late show who was once a correspondent for the daily show,N/A,['N/A']
is fortnite and fortnite battle royale the same,N/A,['N/A']
who was involved in the currency act of 1764,N/A,['N/A']
where did students for a democratic society start,N/A,['N/A']
justify the title of the novel sense and sensibility,N/A,['N/A']
top 10 most viewed youtube videos in india,N/A,['N/A']
what was the girl poisoned with in sixth sense,N/A,['N/A']
the data link layer of the osi model is comprised of two sublayers,N/A,['N/A']
what is the meaning of the song fool on the hill,N/A,['N/A']
when did we first put a rover on mars,N/A,['N/A']
who can be buried at fort indiantown gap,N/A,['N/A']
if the president pro tempore became president which of the following would be correct,N/A,['N/A']
when was last time bayern munich won champions league,N/A,['N/A']
who held political power in the southern colonies,N/A,['N/A']
did anyone survive the battle of little bighorn,N/A,['N/A']
what is the cost of raising a child from birth to 21,N/A,['N/A']
what genre is the magic tree house books,N/A,['N/A']
give 4 reasons why mercury is used in thermometer,N/A,['N/A']
what are the dates of the zodiac signs,N/A,['N/A']
who laid foundation stone of islamia college peshawar,N/A,['N/A']
who wrote the song city of new orleans,N/A,['N/A']
who became king of erebor after thorin dies,N/A,['N/A']
who said the only thing we have to fear is fear itself,N/A,['N/A']
who won the ncaa women's championship last year 2017,N/A,['N/A']
who is meredith grey dating on grey's anatomy,N/A,['N/A']
who plays the mouse in alice in wonderland,N/A,['N/A']
who did us fight in world war 1,N/A,['N/A']
rain sleet or snow that contains a high concentration of acids is called,N/A,['N/A']
what is a 10 80 in snow boarding,N/A,['N/A']
who plays jack skellington in nightmare before christmas,N/A,['N/A']
what is the main issue behind starlink corn,N/A,['N/A']
which of the following was a significant innovation of lowell mills,N/A,['N/A']
oldest recording of house of the rising sun,N/A,['N/A']
which of the following are si units of young's modulus,N/A,['N/A']
where is carbohydrate converted to glucose through the process of digestion,N/A,['N/A']
any words in spanish that start with x,N/A,['N/A']
which element is not a core component of the iso 27002 standard,N/A,['N/A']
is 50 shades of grey inspired by twilight,N/A,['N/A']
what is the story of around the world in 80 days,N/A,['N/A']
how tall is a 4 story building in meters,N/A,['N/A']
who was the head of the spanish inquisition,N/A,['N/A']
when did the movie peter pan come out,N/A,['N/A']
what ethnic group celebrates its contribution to america in october,N/A,['N/A']
what is a work function of a metal,N/A,['N/A']
in terms of global business strategy and structure a franchise company will use a policy of,N/A,['N/A']
make it or break it who goes to the olympics,N/A,['N/A']
does reaching base on an error count as an at bat,N/A,['N/A']
ruby don't take your love to town cake,N/A,['N/A']
what hotels are part of the hilton family,N/A,['N/A']
what was the primary goal of the first green revolution,N/A,['N/A']
element named after fictional planet from which superman came,N/A,['N/A']
who plays red on orange is new black,N/A,['N/A']
where was the movie i am number 4 filmed,N/A,['N/A']
another name for the torso is the blank region of the body,N/A,['N/A']
what does canada and us have in common,N/A,['N/A']
where does blood go when it leaves the pulmonary artery,N/A,['N/A']
who were the bands in pitch perfect 3,N/A,['N/A']
which of the following events led most directly to the end of world war ll in europe,N/A,['N/A']
decimalization means the unit of the stock price,N/A,['N/A']
revenge is a dish best served three time,N/A,['N/A']
true or false guinea only has one season the dry season,N/A,['N/A']
who has the most yards per carry in nfl history,N/A,['N/A']
who covered stuck in the middle with you,N/A,['N/A']
can you play mario party 6 on wii,N/A,['N/A']
who commissioned the first christmas card in 1943,N/A,['N/A']
what are the most common last names in italy,N/A,['N/A']
when did they start adding zinc to pennies,N/A,['N/A']
who was hope brady's mother on days of our lives,N/A,['N/A']
mere raske kamar song nusrat fateh ali khan,N/A,['N/A']
reba you're the first time i thought about leaving,N/A,['N/A']
what is the title of the person who runs the house of representatives,N/A,['N/A']
who has been designed as the new finance secretary of india,N/A,['N/A']
who plays jekyll in once upon a time,N/A,['N/A']
who sings the song how do you like your love,N/A,['N/A']
when is the presidential primary election day held in the united states,N/A,['N/A']
who plays the first nfl game of the season,N/A,['N/A']
which two choices describe the purpose of the hsi filter,N/A,['N/A']
who won last year's ncaa women's basketball,N/A,['N/A']
what is the most popular religion in sweden,N/A,['N/A']
songs from pink floyd dark side of the moon,N/A,['N/A']
who is the current defence against the dark arts teacher,N/A,['N/A']
where can oxygen be found in the world,N/A,['N/A']
who decides where the super bowl is played,N/A,['N/A']
how many types of cheese are produced in france,N/A,['N/A']
where was the last scene of the danish girl filmed,N/A,['N/A']
where was the last scene of goonies filmed,N/A,['N/A']
who was the king of england at the time the house of the seven gables was built,N/A,['N/A']
casey would waltz and the band played on,N/A,['N/A']
what is the name of the oldest part of the university of paris,N/A,['N/A']
what was the divestment social movement in south africa,N/A,['N/A']
what is the plot of anne of green gables,N/A,['N/A']
who plays sheldon's mother on the big bang theory,N/A,['N/A']
what does g stand for in ncis los angeles,N/A,['N/A']
cls bank deals with transactions arising out of,N/A,['N/A']
who is in charge of ratifying treaties in the us,N/A,['N/A']
where was the hindenburg scheduled to fly and how many passengers were on it,N/A,['N/A']
write a short note on election commission of india,N/A,['N/A']
grace and frankie season 5 how many episodes,N/A,['N/A']
who plays jax's sister in sons of anarchy,N/A,['N/A']
when does vampire diaries season 9 come out,N/A,['N/A']
what is the theme of the book story of a girl,N/A,['N/A']
days of our lives cast doug and julie,N/A,['N/A']
do irish passport holders need visa for thailand,N/A,['N/A']
who was the oldest person on the titanic,N/A,['N/A']
who sang i'm gonna run away from you,N/A,['N/A']
who is considered the first great modern architect,N/A,['N/A']
who plays whitey bulger's girlfriend in black mass,N/A,['N/A']
who came up with popcorn at the movies,N/A,['N/A']
what dna changes produce the delta f508 mutation,N/A,['N/A']
what are the two extracellular fluid compartments in the body,N/A,['N/A']
history of 1st world war in bangla language,N/A,['N/A']
the beast and the beauty korean movie - english subtitle,N/A,['N/A']
every woman and every man join the caravan of love,N/A,['N/A']
what emperor took over france after the reign of terror,N/A,['N/A']
do us citizens need a visa for kuala lumpur,N/A,['N/A']
orange is the new black female guard actress,N/A,['N/A']
how many episodes of touching evil are there,N/A,['N/A']
who plays stevie the bookie in still game,N/A,['N/A']
where is the cartilaginous joint found in the body,N/A,['N/A']
when is time person of the year chosen,N/A,['N/A']
which of the following social changes was a result of the second industrial revolution in the us,N/A,['N/A']
kanye west and ne yo knock you down lyrics,N/A,['N/A']
who played betty in how i met your mother,N/A,['N/A']
bible verse about honor thy mother and father,N/A,['N/A']
what was the result of the revolt of 1857,N/A,['N/A']
who sang the song a white sports coat and a pink carnation,N/A,['N/A']
cast of the have and have nots play,N/A,['N/A']
who wrote shes always a woman to me,N/A,['N/A']
what is the largest city in the united states per square mile,N/A,['N/A']
what is the structural formula for methylethyl ether,N/A,['N/A']
describe the procedure of ambulance services in this community,N/A,['N/A']
when was the last time the vikings made the superbowl,N/A,['N/A']
generalized additive models for location scale and shape,N/A,['N/A']
where does new crust come from in sea floor spreading,N/A,['N/A']
where was the first high level language operating system created,N/A,['N/A']
defeat of the spanish armada by the british,N/A,['N/A']
how much did disneyland paris cost to build,N/A,['N/A']
who played shaggy in the new scooby doo movie,N/A,['N/A']
what order do patricia cornwell books go in,N/A,['N/A']
what is the ultimate objective of financial management,N/A,['N/A']
when's the last time england had a king,N/A,['N/A']
guardians of the galaxy volume 1 soundtrack list,N/A,['N/A']
who plays zac on the young and the restless,N/A,['N/A']
a musical instrument with strings beginning with c,N/A,['N/A']
how far is mechanicsburg ohio from columbus ohio,N/A,['N/A']
which brazilian player is known as the black diamond of football,N/A,['N/A']
how many times have real madrid won the champions league in a row,N/A,['N/A']
who is easter named after and what are her symbols,N/A,['N/A']
when the lights go out in the city journey,N/A,['N/A']
which animal on earth has the longest life span,N/A,['N/A']
where would you find a crawler or climbing lane,N/A,['N/A']
where do you get a cashiers check from,N/A,['N/A']
how old are the members in why dont we,N/A,['N/A']
george washington preparatory high school los angeles ca,N/A,['N/A']
who wrote i stand amazed in the presence of jesus the nazarene,N/A,['N/A']
how many episodes in great british bake off 2017,N/A,['N/A']
who played guitar on my guitar gently weeps,N/A,['N/A']
when was the last time beijing hosted the winter olympics,N/A,['N/A']
what state does rick and morty take place in,N/A,['N/A']
what did gibbs whisper to ziva in season 7,N/A,['N/A']
where does the phrase jumping the shark come from,N/A,['N/A']
seven union territories of india and their capital,N/A,['N/A']
out of my dreams get into my car,N/A,['N/A']
fall out boy's evening out with your girlfriend,N/A,['N/A']
seawise giant happy giant jahre viking and knock nevis,N/A,['N/A']
what do the colors on the el salvador flag mean,N/A,['N/A']
marsupials are found in north america and australia,N/A,['N/A']
when does nathan get in a car accident,N/A,['N/A']
average winnings on who wants to be a millionaire,N/A,['N/A']
who has the most subscribers in faze clan,N/A,['N/A']
game of thrones synopsis season 6 episode 10,N/A,['N/A']
the values and beliefs of a culture are examples of a formal institution,N/A,['N/A']
the mask of zorro sword scene of zorro and elena,N/A,['N/A']
what happens in the movie the boy in the striped pajamas,N/A,['N/A']
the removal of temperature in fire fighting method is known as,N/A,['N/A']
what kind of snakes live in south america,N/A,['N/A']
the witch and the hundred knight 2 us release,N/A,['N/A']
who was in dont worry be happy video,N/A,['N/A']
total strength of judges in supreme court of india,N/A,['N/A']
what is the meaning of gynaecologist in hindi,N/A,['N/A']
bye and bye going to see the king by blind willie johnson,N/A,['N/A']
wish i knew you when i was young song meaning,N/A,['N/A']
how many pairs of legs does a centipede have,N/A,['N/A']
who is the original singer of just when i needed you most,N/A,['N/A']
where is the highest level of fluoride stored in the teeth,N/A,['N/A']
where do you place the glass slide at the end of lab,N/A,['N/A']
ganglion axons forming the optic nerve run to the,N/A,['N/A']
who played the voice of mufasa in lion king,N/A,['N/A']
what was the first form of manga in japan,N/A,['N/A']
ole ole ole ole we are the champ,N/A,['N/A']
when does i'm a celebrity get me out of here start in the uk,N/A,['N/A']
ben 10 ultimate alien episode 2 season 1,N/A,['N/A']
act only from those personal rules that you can at the same time will to be moral laws,N/A,['N/A']
where do peaches come from in the us,N/A,['N/A']
when did they stop putting lead in paint,N/A,['N/A']
what breed of dog is the teddy bear dog,N/A,['N/A']
when did the battles of lexington and concord happen,N/A,['N/A']
who won the 1st battle of bull run,N/A,['N/A']
what was the geographical significance of the location of judah and north israel,N/A,['N/A']
what is the name of the under butler in downton abbey,N/A,['N/A']
which of the following will not decrease the demand for a commodity,N/A,['N/A']
jodeci the show the afterparty the hotel album,N/A,['N/A']
government of kerala board of higher secondary examination contact details,N/A,['N/A']
where is the start of 17 mile drive,N/A,['N/A']
when was the last time metallica played milwaukee,N/A,['N/A']
in the early 1800s california society was dominated by which group,N/A,['N/A']
in the process of science hypotheses lead most directly to,N/A,['N/A']
what is the director's cut of a movie,N/A,['N/A']
who was appointed to manage the national recovery administration,N/A,['N/A']
how oxygenated blood returns to the heart from the lungs,N/A,['N/A']
in another world with my smartphone japanese title,N/A,['N/A']
when did the government change the retirement age,N/A,['N/A']
which city is called smart city in india,N/A,['N/A']
who plays jill bigelow in line of duty,N/A,['N/A']
where does the paraguay river start and end,N/A,['N/A']
who won best boy band i heart radio music awards,N/A,['N/A']
where was the statue of liberty originally built,N/A,['N/A']
what language is the olympic anthem sang in,N/A,['N/A']
where did the battle of bonhomme richard take place,N/A,['N/A']
